# SSG Audit Database
# file_path	package	status	tested	last_audited	notes	source
ssg-js/src/main/scala/ssg/js/Terser.scala	js	major_issues	no	2026-04-07	23% LOC of upstream minify.js (98 vs 413). Happy-path orchestration only; missing ecma normalization, mangle cache, format/output option resolution, structured error shape, source-map integration. ISS-033, ISS-034. Confirmed unchanged from prior audit.	
ssg-js/src/main/scala/ssg/js/TerserJsCompressor.scala	js	pass	partial	2026-04-07	Thin wrapper around Terser.minifyToString with try/catch fallback. Adapter for ssg-minify JsCompressor SPI. Functionally complete; correctness limited by underlying Terser stubs (ISS-031..ISS-035).	
ssg-js/src/main/scala/ssg/js/ast/AstClasses.scala	ast	pass	partial	2026-04-07	Class/object property nodes — AstObjectProperty hierarchy, AstClass/AstDefClass/AstClassExpression, AstClassStaticBlock, AstPrivateIn. Matches original ast.js DEFNODE definitions. computedKey() correctly differentiates AstSymbolMethod from generic AstNode keys.	
ssg-js/src/main/scala/ssg/js/ast/AstConstants.scala	ast	pass	partial	2026-04-07	Literal/constant nodes complete: AstString, AstNumber, AstBigInt, AstRegExp (with RegExpValue case class), AstNull/NaN/Undefined/Infinity/Hole, AstTrue/False. 1:1 with original.	
ssg-js/src/main/scala/ssg/js/ast/AstDefinitions.scala	ast	pass	partial	2026-04-07	Variable/constant declaration nodes (Var/Let/Const/Using/VarDef/UsingDef/NameMapping/Import/Export/ImportMeta) complete with walk/childrenBackwards. ArrayBuffer-based imported_names/exported_names match original.	
ssg-js/src/main/scala/ssg/js/ast/AstEquivalent.scala	ast	pass	partial	2026-04-07	Structural AST equality (equivalent_to) ported as iterative stack walk + shallowCmp via pattern matching. ~50 case branches mirror original equivalent-to.js. nullEq matches original's reference-equality semantics for For init/condition/step. Default case at line 254 is 'true' which is incorrect (should be 'false' for unmatched types) — minor as all real types are listed but worth a follow-up. Audit confirmed; not filing as separate issue (low impact).	
ssg-js/src/main/scala/ssg/js/ast/AstExpressions.scala	ast	pass	partial	2026-04-07	Expression nodes complete: Call/New, Sequence, PropAccess hierarchy (Dot/DotHash/Sub), Chain, Unary (Prefix/Postfix), Binary/Assign/DefaultAssign, Conditional, Array/Object, Await/Yield, Template strings. Matches original.	
ssg-js/src/main/scala/ssg/js/ast/AstNode.scala	ast	major_issues	partial	2026-04-07	AstNode trait + walk/TreeWalker complete. TreeTransformer is a stub: extends TreeWalker with unused before/after fields, but node.transform() method does not exist. Original transform.js (323 LOC, ~50 def_transform clauses) is entirely unported. Affects GlobalDefs (ISS-058). See ISS-057. Lines 203-206.	
ssg-js/src/main/scala/ssg/js/ast/AstScope.scala	ast	pass	partial	2026-04-07	AstScope trait + AstToplevel + AstLambda hierarchy (Function/Defun/Arrow/Accessor) + AstDestructuring + AstExpansion. variables/enclosed typed as Any (SymbolDef integration pending — ISS-032). isBraceless and lengthProperty match original.	
ssg-js/src/main/scala/ssg/js/ast/AstSize.scala	ast	pass	partial	2026-04-07	Size estimator (~329 LOC) covers all major node types via pattern matching. symbolSize correctly assumes 1 char for mangleable symbols. SymbolClassProperty has TODO line 282 ('take propmangle into account') — minor. Compares well against upstream size.js.	
ssg-js/src/main/scala/ssg/js/ast/AstStatements.scala	ast	pass	partial	2026-04-07	Statement nodes complete: Debugger/Directive/SimpleStatement, Block hierarchy (BlockStatement/Switch branches), DWLoop (Do/While), For/ForIn/ForOf, With, If, Switch/Case/Default, Try/TryBlock/Catch/Finally, Jump/Exit/Return/Throw, LoopControl/Break/Continue. Matches original.	
ssg-js/src/main/scala/ssg/js/ast/AstSymbols.scala	ast	pass	partial	2026-04-07	Symbol hierarchy complete: AstSymbol trait + Var/Funarg/Const/Using/Let/Catch/DefClass/Class/Defun/Lambda/Method/ClassProperty/PrivateProperty/Import/ImportForeign/Export/ExportForeign/SymbolRef + Label/LabelRef + This/Super + NewTarget. thedef typed as Any pending ISS-032.	
ssg-js/src/main/scala/ssg/js/ast/AstToken.scala	ast	pass	partial	2026-04-07	AstToken case class with bitfield-backed nlb/quote/templateEnd accessors. Sentinel Empty token. Matches original AST_Token in ast.js.	
ssg-js/src/main/scala/ssg/js/ast/Nodes.scala	ast	pass	no	2026-04-07	Intentionally empty placeholder file. AST types live in Ast*.scala siblings.	
ssg-js/src/main/scala/ssg/js/compress/Common.scala	compress	minor_issues	partial	2026-04-11	ISS-116 reflection bug, ISS-130 bestOf/isRefOf/isReachable. makeNodeFromConstant missing bigint+undefined. getSimpleKey incomplete AstConstant dispatch. retainTopFunc decomposed signature.	
ssg-js/src/main/scala/ssg/js/compress/Compressor.scala	compress	major_issues	no	2026-04-11	ISS-117,118,129,139-143. hoist_declarations/hoist_properties missing. find_variable/is_atomic/unsafe_undefined_ref missing. hasDirective inversion bug. 15+ handlers have dropped branches. optimizeBinary/Call/Conditional/Sub/Dot/UnaryPrefix all incomplete.	
ssg-js/src/main/scala/ssg/js/compress/CompressorFlags.scala	compress	pass	partial	2026-04-11	All 13 items (10 constants + 3 functions) ported correctly. hasFlag returns Boolean vs truthy-int — intentional Scala idiom.	
ssg-js/src/main/scala/ssg/js/compress/CompressorLike.scala	compress	pass	partial	2026-04-11	ISS-138. Missing: in_computed_key(), mangle_options(), is_lhs() (on trait), sequences_limit field. in_32_bit_context drops other_operand_must_be_number param. Duplicate ToplevelConfig with CompressorOptions.	
ssg-js/src/main/scala/ssg/js/compress/CompressorOptions.scala	compress	pass	partial	2026-04-11	ISS-138. Missing ie8, pure_new, warnings options. sequences_limit incomplete. CompressorLike missing in_computed_key, mangle_options, sequences_limit.	
ssg-js/src/main/scala/ssg/js/compress/DropSideEffectFree.scala	compress	minor_issues	partial	2026-04-11	ISS-133. dropCall is_callee_pure stubbed. dropClass missing is_self_referential. dropAssign missing use-strict guard. dropUnary missing IIFE negate. AstClassPrivateProperty computed key missing.	
ssg-js/src/main/scala/ssg/js/compress/DropUnused.scala	compress	major_issues	no	2026-04-11	ISS-115 CRITICAL walk-not-transform bug, ISS-134 major gaps. drop_funcs/drop_vars missing, assign_as_unused never called, lambda argname trimming absent, scan_ref_scoped absent, AST_Definitions pass 1 missing, fixed_ids missing.	
ssg-js/src/main/scala/ssg/js/compress/Evaluate.scala	compress	minor_issues	partial	2026-04-11	ISS-132. evalSymbolRef complete stub. AST_Function unsafe missing. global_objs/RegExp eval paths missing. isConstantExpression misplaced+incomplete. BigInt guard missing. NaN+AST_With guard missing. typeof+SymbolRef TODO stub.	
ssg-js/src/main/scala/ssg/js/compress/GlobalDefs.scala	compress	major_issues	no	2026-04-11	ISS-136. figure_out_scope TODO stub. deepClone stub. AstChain suffix bug. SymbolRef global check uses reflection.	
ssg-js/src/main/scala/ssg/js/compress/Inference.scala	compress	pass	partial	2026-04-11	Re-audited 2026-04-11: ISS-149 and ISS-150 verified fixed. All branches in isModified and isUsedInExpression match original.	
ssg-js/src/main/scala/ssg/js/compress/Inline.scala	compress	major_issues	no	2026-04-11	ISS-127,128. inlineIntoCall missing body-flattening (~200 LOC, 9 inner helpers). inlineIntoSymbolRef missing 15+ paths including scope safety, recursive refs, size calc. is_const_symbol_short_than_init_value missing.	
ssg-js/src/main/scala/ssg/js/compress/NativeObjects.scala	compress	pass	partial	2026-04-11	All data tables + 3 helpers (isPureNativeMethod, isPureNativeFn, isPureNativeValue) ported correctly. make_nested_lookup replaced with idiomatic Scala Map[String,Set[String]].	
ssg-js/src/main/scala/ssg/js/compress/ReduceVars.scala	compress	major_issues	no	2026-04-11	ISS-126,137. handle_defined_after_hoist (~140 LOC) entirely missing. markEscaped missing AstYield+AstUsingDef. reduceSymbolRef falsy check wrong. reset_def singleUse sentinel wrong.	
ssg-js/src/main/scala/ssg/js/compress/TightenBody.scala	compress	pass	no	2026-06-24	Re-audited 2026-06-24 (ISS-1114): prior '~35%/collapse_vars missing' STALE. All 5 cited gaps ported vs terser tighten-body.js: collapseVars (:1399, 18 sub-funcs), handleIfReturn 7 patterns (:490), sequenceize2 (:910), joinConsecutiveVars 9 cases (:1226), eliminateDeadCode real loopcontrolTarget (:342). 2636 LOC.	
ssg-js/src/main/scala/ssg/js/output/FirstInStatement.scala	output	pass	partial	2026-04-07	firstInStatement and leftIsObject helpers ported from utils/first_in_statement.js. Pattern matches all leftmost-child cases.	
ssg-js/src/main/scala/ssg/js/output/OutputOptions.scala	output	pass	partial	2026-04-07	OutputOptions case class with all major options from output.js (asciiOnly, beautify, braces, comments, ecma, indent levels, inlineScript, keep flags, maxLineLen, preamble, preserveAnnotations, quote style, semicolons, shebang, shorthand, webkit, width, wrapIife/wrapFuncArgs).	
