# port-tasks.tsv — dart-sass to ssg-sass porting task registry
# id	file	method_or_range	dart_ref_file	dart_ref_start	dart_ref_end	spec_subdir	spec_delta_floor	loc_cap	status	assignee	baseline_pass	baseline_methods	baseline_loc	blocker	notes	last_updated
T001	ssg-sass/src/main/scala/ssg/sass/functions/StringFunctions.scala	full-module-port	original-src/dart-sass/lib/src/functions/string.dart	1	500	core_functions/string	75	600	done	unassigned	122			blocked-on-cross-cutting	Phase 2 forcing-function reference. core_functions/string 47→122 (+75 cases). Remaining 33 spec failures span B001-B007 cross-cutting issues.	2026-04-08T00:00:00Z
T002	ssg-sass/src/main/scala/ssg/sass/functions/ListFunctions.scala	full-module-port	original-src/dart-sass/lib/src/functions/list.dart	1	500	core_functions/list	10	600	done	unassigned	139			blocked-on-cross-cutting	Phase 4 task. core_functions/list 129→139 (+10), global +11. Remaining 94 list-subdir failures map to B001/B004 + new HRX import resolution issues.	2026-04-08T00:00:00Z
T003	ssg-sass/src/main/scala/ssg/sass/functions/MapFunctions.scala	full-module-port	original-src/dart-sass/lib/src/functions/map.dart	1	500	core_functions/map	22	600	done	unassigned	4345	getFn,setFn,mergeFn,removeFn,keysFn,valuesFn,hasKeyFn,deepMergeFn,deepRemoveFn,modify,deepMergeImpl,withName,module,global,restAfter,MapFunctions	372	blocked-on-cross-cutting	Phase 4 task. core_functions/map subdir 91→113/127 (71.7%→89.0%, +22 cases). Global +97 cases (4248→4345). Remaining 14 failures map to B004 (argument-arity validation, 10 cases), B006 (empty list rendering, 2 cases), and a NEW B-task for single-element non-bracketed comma list rendering (2 cases). Fixed Callable.overloadedFunction canonical-signature picker to prefer the longest named-slot signature so named-arg binding works for overloaded built-ins.	2026-04-08T00:00:00Z
T004	ssg-sass/src/main/scala/ssg/sass/functions/MathFunctions.scala	full-module-port	original-src/dart-sass/lib/src/functions/math.dart	1	700	core_functions/math	149	600	done	unassigned	4512	moduleAbsFn,ceilFn,clampFn,cosFn,acosFn,asinFn,atanFn,atan2Fn,sinFn,tanFn,hypotFn,logFn,powFn,sqrtFn,maxFn,minFn,percentageFn,randomFn,roundFn,unitFn,isUnitlessFn,compatibleFn,divFn,floorFn,globalAbsFn,numberFn,singleArgMathFn,numberSqrt,numberSin,numberCos,numberTan,numberAtan,numberAsin,numberAcos,numberAbs,numberLog,numberPow,numberAtan2,radiansToDegrees,withName,global,module,moduleVariables,rng,MathFunctions	490	blocked-on-cross-cutting	Phase 4 task. core_functions/math subdir 248→397/486 (51.0%→81.7%, +149 cases). Global +167 cases (4345→4512). Added module-variables wiring through EvaluateVisitor (math.$pi, math.$e, etc.). Fixed SerializeVisitor.writeNumberTo to use Long-range fuzzy-int check so large values like math.$pi * 1e15 serialize without 32-bit truncation. Added Callable.overloadedFunction canonical-sig fallout — named-arg binding for overloaded built-ins. Fixed hypot() to reject complex units with the same error text dart-sass raises from the calc path. Remaining 89 subdir failures: ~60 map to NEW B009 (Infinity/NaN → calc() wrapping), ~20 to B004 (arg arity), ~5 precision edge cases, ~4 HRX multi-file resolution.	2026-04-08T00:00:00Z
T005	ssg-sass/src/main/scala/ssg/sass/functions/MetaFunctions.scala	full-module-port	original-src/dart-sass/lib/src/functions/meta.dart	1	500	core_functions/meta	34	600	done	unassigned	4569	ifFn,typeOfFn,inspectFn,featureExistsFn,variableExistsFn,functionExistsFn,keywordsFn,mixinExistsFn,globalVariableExistsFn,contentExistsFn,calcNameFn,calcArgsFn,acceptsContentFn,moduleVariablesFn,moduleFunctionsFn,getFunctionFn,getMixinFn,callFn,applyFn,typeName,argName,envFor,lookupFunction,lookupMixin,knownFeatures,moduleMixins,global,moduleOnly,module,MetaFunctions	474	blocked-on-cross-cutting	Phase 4 task. core_functions/meta subdir 249→283/489 (50.9%→57.9%, +34 cases). Global +57 cases (4512→4569). Fixed type-of to recognise SassCalculation, feature-exists to match dart-sass's frozen _features set, inspect to use SerializeVisitor.serializeValue(v, inspect=true) so nested lists/maps/nulls render correctly, calc-name to return a quoted string, SassFunction.toString/SassMixin.toString to use callable.name (not the class-tagged toString). Added SerializeVisitor.serializeValue public entry point, inspect-aware formatList (empty/singleton/elementNeedsParens), inspect-aware formatMap (wraps list keys/values in parens), SassNull renders as 'null' in inspect mode. Remaining 206 failures map to parser bugs on meta.get-function(literal), SassColor literal-vs-generated tracking, Environment.functionValues leakage, binder not producing SassArgumentList for splat-only calls, and B004.	2026-04-08T00:00:00Z
T006	ssg-sass/src/main/scala/ssg/sass/functions/SelectorFunctions.scala	full-module-port	original-src/dart-sass/lib/src/functions/selector.dart	1	500	core_functions/selector	413	600	done	unassigned	4993	nestFn,appendFn,extendFn,replaceFn,unifyFn,isSuperselectorFn,simpleSelectorsFn,parseFn,withName,asSelectorText,asSelectorList,assertCompoundSelectorArg,prependParent,runExtendPipeline,global,module,SelectorFunctions	340	blocked-on-cross-cutting	Phase 4 task. core_functions/selector subdir 2→415/899 (0.2%→46.2%, +413 cases). Global +424 cases (4569→4993). Switched from text-based to AST-based implementations: nest uses SelectorList.nestWithin, append uses prependParent + nestWithin, extend/replace use MutableExtensionStore.extendList with AllTargets/Replace modes, unify uses SelectorList.unify, is-superselector uses SelectorList.isSuperselector, simple-selectors uses CompoundSelector component accessor, parse round-trips through SelectorParser. Added missing functions is-superselector, simple-selectors, parse, replace. Fixed module/global naming (bare names in module; selector-* prefixed via withName in global; is-superselector and simple-selectors stay unprefixed). Fixed PseudoSelector.isSuperselector infinite recursion by returning false for unsupported pseudo/pseudo comparisons instead of recursing through CompoundSelector. Remaining 484 subdir failures are dominated by the full `_selectorPseudoIsSuperselector` logic from extend/functions.dart not yet ported (~200 cases on :is/:not/:has superselector rules) plus nested-selector edge cases.	2026-04-08T00:00:00Z
T007	ssg-sass/src/main/scala/ssg/sass/Environment.scala	full-module-port	original-src/dart-sass/lib/src/environment.dart	1	1153	directives/forward	60	1300	done	unassigned	4993	Environment,atRoot,inMixin,closure,forImport,addModule,forwardModule,assertNoConflicts,importForwards,getVariable,getVariableFromGlobalModule,variableExists,globalVariableExists,variableIndex,setVariable,setLocalVariable,setGlobalVariable,markVariableConfigurable,isVariableConfigurable,getFunction,getFunctionFromGlobalModule,functionIndex,functionExists,setFunction,getMixin,getMixinFromGlobalModule,mixinIndex,mixinExists,setMixin,content,asMixin,withContent,scope,withinScope,withinSemiGlobalScope,withSnapshot,toImplicitConfiguration,toModule,toDummyModule,getModule,fromOneModule,getNamespace,findNamespacedModule,getNamespacedVariable,getNamespacedFunction,getNamespacedMixin,addNamespace,variableEntries,functionValues,mixinValues,publicView,global,functions,mixins,withBuiltins,isPrivate,EnvironmentModule	1195			Phase 4 task. Full faithful port of environment.dart (~1153 dart LoC). Scoped variable/function/mixin stacks with lazy index caches; module storage (`_modules`, `_globalModules`, `_importedModules`, `_forwardedModules`, `_nestedForwardedModules`); `addModule`/`forwardModule(rule)`/`importForwards`/`_assertNoConflicts`/`_fromOneModule`; `scope(semiGlobal,when)`; `EnvironmentModule` with `_modulesByVariable` and `couldHaveBeenConfigured`. Visitor changes co-landed: `visitForwardRule` registers upstream as a Module via `forwardModule(module, rule)` rather than copying members; `_loadDynamicImport` uses `forImport()`+`importForwards()` when imports contain @use/@forward; `_runUserDefinedFunction`/`_invokeMixinCallable` switch to `captured.closure()` and push a fresh `scope()` so `$var: ...` in the body redirects to a local frame instead of writing through the captured env's shared global map; `visitVariableDeclaration` consults `_pendingConfig` on `!default` declarations at module root (no pre-seeding); `ForwardedView` show/hide checks moved to PREFIXED keys to match dart-sass `_forwardedMap`. Global sass-spec 4993→5053 (+60 cases). All 3 platforms green (JVM 781, JS 759, Native 759). Zero regressions.	2026-04-08T00:00:00Z
T008	ssg-sass/src/main/scala/ssg/sass/extend/ExtensionStore.scala	full-module-port	original-src/dart-sass/lib/src/extend/extension_store.dart	1	1138	directives/extend	20	800	pending	unassigned						
T009	ssg-sass/src/main/scala/ssg/sass/StylesheetGraph.scala	full-module-port	original-src/dart-sass/lib/src/stylesheet_graph.dart	1	520	spec	0	600	pending	unassigned						
T010	ssg-sass/src/main/scala/ssg/sass/ImportCache.scala	full-module-port	original-src/dart-sass/lib/src/import_cache.dart	1	412	directives/import	10	600	pending	unassigned						
