# SSG Audit Database
# file_path	package	status	tested	last_audited	notes	source
ssg-md/src/main/scala/ssg/md/util/misc/Utils.scala	misc	pass	yes	2026-03-31	All 60+ methods present. No stubs/TODOs. Minor: uses java.lang.Double.compare, scala.collection.mutable.Map instead of java.util.Map	
ssg-md/src/main/scala/ssg/md/util/misc/BitField.scala	misc	pass	yes	2026-03-31	Complete 1:1 port. getBits() -> def bits. All methods present.	
ssg-md/src/main/scala/ssg/md/util/misc/BitFieldSet.scala	misc	pass	yes	2026-03-31	Complete port. All instance/static methods, iterators, serialization proxy, factory methods present. Varargs renamed to named variants (addAll/removeAll/anyOf/allOf/noneOf).	
ssg-md/src/main/scala/ssg/md/util/misc/CharPredicate.scala	misc	pass	yes	2026-03-31	Complete port. All constants, and/or/negate, standardOrAnyOf overloads, anyOf(char*), anyOf(CharSequence), indexOf all present. Deprecated aliases preserved.	
ssg-md/src/main/scala/ssg/md/util/misc/DelimitedBuilder.scala	misc	pass	yes	2026-03-31	Complete port. All append overloads, mark/unmark, push/pop, appendAll variants for Array and Seq. CharSequence append renamed to appendCharSeq to avoid overload collision.	
ssg-md/src/main/scala/ssg/md/util/misc/Extension.scala	misc	minor_issues	yes	2026-03-31	EMPTY_LIST type changed from Collection[Extension] to List[Extension]. Functionally equivalent but different type.	
ssg-md/src/main/scala/ssg/md/util/misc/Immutable.scala	misc	pass	yes	2026-03-31	Complete 1:1 port. toMutable() -> def toMutable.	
ssg-md/src/main/scala/ssg/md/util/misc/MinMaxAvgDouble.scala	misc	pass	yes	2026-03-31	Complete port. add, diff, avg all present. getMin/getMax/getTotal replaced by public vars (Scala style).	
ssg-md/src/main/scala/ssg/md/util/misc/MinMaxAvgFloat.scala	misc	pass	yes	2026-03-31	Complete port. add, diff, avg all present. getMin/getMax/getTotal replaced by public vars (Scala style).	
ssg-md/src/main/scala/ssg/md/util/misc/MinMaxAvgInt.scala	misc	pass	yes	2026-03-31	Complete port. add, diff, avg all present. getMin/getMax/getTotal replaced by public vars (Scala style).	
ssg-md/src/main/scala/ssg/md/util/misc/MinMaxAvgLong.scala	misc	pass	yes	2026-03-31	Complete port. add, diff, avg all present. getMin/getMax/getTotal replaced by public vars (Scala style).	
ssg-md/src/main/scala/ssg/md/util/misc/Mutable.scala	misc	pass	yes	2026-03-31	Complete 1:1 port. toImmutable() -> def toImmutable.	
ssg-md/src/main/scala/ssg/md/util/misc/Pair.scala	misc	pass	yes	2026-03-31	Complete port. All methods present: getKey, getValue, setValue, toString, equals, hashCode, companion of(). getFirst/getSecond replaced by val first/second (Scala style, accessed via Paired trait).	
ssg-md/src/main/scala/ssg/md/util/misc/Paired.scala	misc	minor_issues	yes	2026-03-31	Kotlin component1/component2 methods intentionally omitted. getFirst/getSecond renamed to first/second (Scala property style). Functionally complete.	
ssg-md/src/main/scala/ssg/md/util/misc/Ref.scala	misc	pass	yes	2026-03-31	Complete 1:1 port. public var value matches original.	
ssg-md/src/main/scala/ssg/md/util/misc/TemplateUtil.scala	misc	pass	yes	2026-03-31	Complete port. Resolver trait, MappedResolver class, resolveRefs method all present with correct logic. getMMap -> mMap (Scala style).	
ssg-md/src/main/scala/ssg/md/util/misc/ArrayUtils.scala	misc	pass	yes	2026-04-01	Intentionally skipped — unreferenced by ported code	
ssg-md/src/main/scala/ssg/md/util/visitor/AstAction.scala	visitor	pass	yes	2026-03-31	Empty marker trait. Perfect match to AstAction.java interface.	
ssg-md/src/main/scala/ssg/md/util/visitor/AstNode.scala	visitor	pass	yes	2026-03-31	Trait with firstChild/next methods. Getter prefix removed per convention. Nullable correctly mapped.	
ssg-md/src/main/scala/ssg/md/util/visitor/AstHandler.scala	visitor	pass	yes	2026-03-31	Abstract class with nodeType/adapter vals, equals/hashCode. Getters removed per convention. equals uses pattern match instead of strict getClass check (minor, acceptable for abstract class).	
