# SSG Migration Database
# source_lib	source_path	ssg_path	status	module	last_updated	notes	source_sync_commit	last_sync_date
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/DocxRenderer.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/DocxRendererContext.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/DocxRendererOptions.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/DocxRendererPhase.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/NodeDocxRenderer.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/NodeDocxRendererFactory.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/NodeDocxRendererHandler.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/PhasedNodeDocxRenderer.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/internal/CoreNodeDocxRenderer.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/internal/DocxLinkResolver.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/internal/package-info.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/package-info.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/AttributeBlockFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/AttributeFormat.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/AttributeRunFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/BinaryPartAbstractImage.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/BlockFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/BlockFormatProviderBase.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/BoldRunFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/ColorNameMapper.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/ContentContainer.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/DocumentContentHandler.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/DocxContext.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/DocxContextFrameProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/DocxContextImpl.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/DocxHelper.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/FencedCodeBlockFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/FootnoteBlockFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/FootnoteRunFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/FormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/HeadingBlockFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/IsolatingBlockFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/ItalicRunFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/ListItemBlockFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/ParaContainer.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/QuotedFormatProvider.java		skipped	ssg-md	2026-03-30	JVM-only (docx4j)		2026-03-30
